title,description,Sex
"""A Valais Classic"" feat. Daniel Woods","Daniel Woods spends a month in Fionnay, Switzerland taking on the area's classics and establishing one himself.

Climb list:
Grape Ape 8A+ (v12) FA
Ragot FM 8A (v11)
Permanent Midnight 8A+ (v12)
Compass North 8B+ (v14) FLASH
Scarred for Life 8B+ (v14)
Foundation's Edge 8C (v15)

Film by Rene Grincourt @renegrincourt_ 
Edit by Rene Grincourt and Gregoire Mithieux",Male
UNCUT: Hugo Parmentier - Amicalement Blues (9A/5.14D),Hugo Parmentier with an amazing send of Amicalement Blues (9a/5.14d) first done by Nicolas Perlorson. :),Male
ANTIGRAV presents: The Ends of the Earth,"Brainwashed friends in Rocklands, South Africa

Featuring (in order of appearance)

Keenan Takahashi
Eric Bissell
Clément Lechaptois
Katie Lamb
Ethan Pringle

Stones scaled (in order)

Quintessential V13/8B
The Executioner V13/8B
Pinotage Sit V10/7C+
Book Club V14/8B+
Ubuntu V12/8A+
The Eye of Sauron V10/7C+
Cosmic Artifact V14/8B+

www.antigrav.wtf",Male
UNCUT: Daniel Woods & Jimmy Webb - Insomniac (V16),Different strokes for different folks. Check out the varying styles as Daniel and Jimmy take down the new Lincoln Lake testpiece established by Drew Ruana,Males
Blade Runner (V15/8C) FA - Giuliano Cameroni,"Giuliano climbing in RMNP: repeats of the Daniel Woods testpieces Jade (V14) and Domestic Cat (V14) on the Green 45 and adding his own, Blade Runner. 

Filmed by: Giuliano and Daisuke
Edited by: Giuliano",Male 
Isabelle Faus - Creme de la crumb (8B+/V14) FFA,"Isabelle crushing another hard bloc in Colorado

Filmed by Chad Greedy and edited by Isabelle Faus",Female
UNCUT: Daisuke Ichimiya - Finnish Line (8C/V15),Uncut footage of Daisuke Ichimiya climbing Finnish Line (8C/V15) in 2018.,Male
UNCUT: Siara Fabbri - Creatures of Comfort (8A+/V12),"Siara Fabbri making quick work of ""Creatures of Comfort"" (8A+) in Vernayaz  Switzerland.",Female
UNCUT: Arjan De Kock - La Directe du Surplomb de la Mée assis (8B/V13),2014 throwback of Arjan De Kock in full battle mode on one of Fontainebleau's finest.,Male
Giuliano and Diego: First ascents in Brione,"Giuliano and Diego Cameroni establishing some new boulders in Brione during this past winter season.

List of boulders

Slow Down 8A+/V12 FA
Take it easy 8B/V13 FA
Blinded by the light 8B/V13
Inside Out 8B/V13 FA
Liquid Nails 8B+/V14 FA
Zero Kelvin 8B+/V14 FA

Camera by Kevin Takashi Smith as well",Males
UNCUT: Brooke Raboutou - Jade (V14/8B+),"Brooke Raboutou with a quick and amazing send of the notorious crimp line ""Jade"" in Rocky Mountain National Park.

Video: Finn Stack",Female
Big Conviction 8C+ - Simon Lorenzi,"V16 FA in Fontainebleau, France",Male
First Ascents in Val Bavona,"Giuliano, Keenan, and Jimmy establishing new lines in Ticino, Switzerland.

Filmed by GC, KT, & JW
Edit by JW",Males
UNCUT: Zach Galla - The Game (V15/8C),"Zach taking down one of the most famous boulders in the world, first ascended by Daniel Woods in 2010.",Male
UNCUT: Katie Lamb - Dominator (8A+/V12),"Katie sends the iconic Jerry Moffat Yosemite line ""Dominator."" Power tension board style climbing at its finest. Respect Katie!",Female
UNCUT: Shawn Raboutou - Mirta (V14),"Shawn Raboutou climbing up Mirta (V14/B7) in Capetown, South Africa. 2017",Male
Sierra Madre (8C/V15) - Michael Piccolruaz,"Micha in Zillertal, doing some new classics including the beautiful Sierra Madre 8C opened by Florian Schmalz

List of blocs

Podestinga sit 8A+
Make up your mind 8A+
Traumshiff 8B
Sierra Madre 8C
Nihilist sit 8B+",Male
Ryuichi Murai - United (V16/8C+) FA,"Ryuichi on the first ascent of Japan's hardest boulder, United (8C+/V16). The boulder is the sit start to Decided, an established V14 from Toru Nakajima in Mt. Mizugaki.",Male
Jimmy Webb: Lucid Dreaming (V15/8C),"Jimmy goes to work on his anti-style in Bishop, CA.

Film and edit: Kevin Takashi Smith",Male
FIONNAY VIBES with: Clément Lechaptois and Marine Thévenet,"Marine Thévenet and Clément Lechaptois are one of the strongest bouldering couple in the world. In this video they went on a bouldering mission in Fionnay, Switzerland with the goal of climbing most of the king lines of the area. Among other boulders Clem climbed Fuck the System 8C+/V16 and Marine did the FFA of Compass North 8B+/V14",Mix
MYSTIC RIVER - with Shawn Raboutou & Giuliano Cameroni,"Giuliano Cameroni and Shawn Raboutou bouldering in Ticino, Switzerland

Geyser Sound 8B (FA & 2nd)
Younity 8A+ (FA)    
Tomba 8B+
Albatros 8B (2nd)
La Rustica 8C
Mystic River 8C (FA & 2nd)",Males
Giuliano Cameroni - Ephyra (8C+/V16),"Giuliano Cameroni on the 3rd ascent of the beautiful Ephyra, in Chironico, Switzerland, after the FA of Jimmy Webb and 2nd ascent of Niky Ceria",Male
Jimmy Webb - A Good Season (Rocklands 2019),Jimmy Webb making his way through some of Rocklands hardest testpieces including 4 8C's and multiple first ascents.,Male
Climbing Archives: Catalunya,"From the vaults, Daniel Woods, Chris Sharma, Dave Graham, and Matty Hong go sport climbing in Oliana and Margalef (2016). Featuring First Round First Minute (9b), Papichulo (9a+), Victimas Perez (9a) and Joe Mama (9a+). Filmed by Matty Hong and Greg Mionske; edited by Matty Hong.",Males
UNCUT: Daniel Woods - Neon Desert (8B+/V14),"Daniel Woods makes an ascent of Dave Graham's Hueco Tanks hard line: Neon Desert.

vid by Keith Allen Peters @westmountainmedia",Male
STILL ALIVE - Keenan Takahashi // Rocklands 2019,"Keenan taking down some old projects and getting high...

Climbs in order:

Séance (V11 FA)
Deepwater Solo (V9ish)
Sky (V13/14)
DOOMSDAY (V9X FA)

Film: Giuliano Cameroni and Jimmy Webb
Edit: Keenan Takahashi",Male
"Sean ""Steezy"" Bailey Floatin Blocs n talkin bass","Sean Bailey literally floats up hard blocs. Its impressive to watch. Check him out here sending ""Echale"" (8B+/v14), ""Ode to the Modern Man"" (8B+/v14), ""Chocolate Jesus"" (8B/v13), and ""Grand Illusion"" (8C/+ or 9b route) 2nd asc.",Male
UNCUT: Daisuke Ichimiya - Gekirin (8C/V15),"Daisuke Ichimiya repeats Gekirin (8C/V15) in Ryutosen, Japan. First ascended by Daï Koyamada. (March 11, 2018)",Male
Taylor McNeill Multiverse V15/8C,"Taylor McNeill getting the second ascent of a mega Jimmy Webb block in Wyoming first established back in 2014!

Multiverse V15

Supported by Mad Rock Climbing

Produced by SOHI Studios",Male
